$$$$$$$$$$$$$$$$$LLLL$$$$$$$$$$$
$$$$$$$$$$$$$$$$$%%%%$$$$$$$$$$$
$$$$$$$$$$$$$$$$$%%%%$$$$$$$$$$$
$$$$$$$$$$$$$$$$$%%%%$$$$$$$$$$$
@@@@@@           ####      @@@@@
@@               ####        @@@
@                ####          @
@                ####          @
@                ####          @
@                ####          @
@                ######        @
@                  ####        @
@                  ####        @
@@                 ####        @ 
@@@                ####        @
@@@@@@@@@@@@@@@@@@@@AA@@@@@@@@@@@
